Ligand,Receptor,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Receptor %
Flrt2,Ntn4,Pathway 2,405,1113,42,0,0.9060402684563759,1.0,0.9507042253521127,25,0.008923968506713535
Flrt2,Ntn4,Pathway 2,405,1113,42,0,0.9060402684563759,1.0,0.9507042253521127,50,0.010415515971020044
Flrt2,Ntn4,Pathway 2,405,1113,42,0,0.9060402684563759,1.0,0.9507042253521127,75,0.00987654320987655
Flrt2,Ntn4,Pathway 2,405,1113,42,0,0.9060402684563759,1.0,0.9507042253521127,100,0.00987654320987655
Dcc,Ntn1,Pathway 2,102,1350,108,0,0.4857142857142857,1.0,0.6538461538461539,25,0.13004469417462122
Dcc,Ntn1,Pathway 2,102,1350,108,0,0.4857142857142857,1.0,0.6538461538461539,50,0.12980956464582924
Dcc,Ntn1,Pathway 2,102,1350,108,0,0.4857142857142857,1.0,0.6538461538461539,75,0.13725490196078435
Dcc,Ntn1,Pathway 2,102,1350,108,0,0.4857142857142857,1.0,0.6538461538461539,100,0.13725490196078435
Dcc,Ntn4,Pathway 2,102,1415,43,0,0.7034482758620689,1.0,0.825910931174089,25,0.02547431502649109
Dcc,Ntn4,Pathway 2,102,1415,43,0,0.7034482758620689,1.0,0.825910931174089,50,0.03261670500109639
Dcc,Ntn4,Pathway 2,102,1415,43,0,0.7034482758620689,1.0,0.825910931174089,75,0.029411764705882373
Dcc,Ntn4,Pathway 2,102,1415,43,0,0.7034482758620689,1.0,0.825910931174089,100,0.029411764705882373
Dscam,Ntn1,Pathway 2,30,1411,119,0,0.20134228187919462,1.0,0.33519553072625696,25,0.08806825040571173
Dscam,Ntn1,Pathway 2,30,1411,119,0,0.20134228187919462,1.0,0.33519553072625696,50,0.09814631430723385
Dscam,Ntn1,Pathway 2,30,1411,119,0,0.20134228187919462,1.0,0.33519553072625696,75,0.09999999999999999
Dscam,Ntn1,Pathway 2,30,1411,119,0,0.20134228187919462,1.0,0.33519553072625696,100,0.09999999999999999
Dscam,Ntn4,Pathway 2,30,1484,46,0,0.39473684210526316,1.0,0.5660377358490566,25,0.0
Dscam,Ntn4,Pathway 2,30,1484,46,0,0.39473684210526316,1.0,0.5660377358490566,50,0.0
Dscam,Ntn4,Pathway 2,30,1484,46,0,0.39473684210526316,1.0,0.5660377358490566,75,0.0
Dscam,Ntn4,Pathway 2,30,1484,46,0,0.39473684210526316,1.0,0.5660377358490566,100,0.0
Draxin,Ntn1,Pathway 2,28,1413,119,0,0.19047619047619047,1.0,0.32,25,0.09714897092440214
Draxin,Ntn1,Pathway 2,28,1413,119,0,0.19047619047619047,1.0,0.32,50,0.10003094128094132
Draxin,Ntn1,Pathway 2,28,1413,119,0,0.19047619047619047,1.0,0.32,75,0.10714285714285718
Draxin,Ntn1,Pathway 2,28,1413,119,0,0.19047619047619047,1.0,0.32,100,0.10714285714285718
Draxin,Ntn4,Pathway 2,28,1486,46,0,0.3783783783783784,1.0,0.5490196078431372,25,0.0
