receptor,ligand,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Ligand %
Neo1,Ntn1,Pathway 2,21174,27111,3080,0,0.8730106374206317,1.0,0.9322004050365413,50,0.12346704856497305
Neo1,Ntn1,Pathway 2,21174,27111,3080,0,0.8730106374206317,1.0,0.9322004050365413,75,0.12507961078430005
Neo1,Ntn1,Pathway 2,21174,27111,3080,0,0.8730106374206317,1.0,0.9322004050365413,100,0.12371162572117668
Neo1,Ntn4,Pathway 2,21174,28825,1366,0,0.939396628216504,1.0,0.9687514297479068,25,0.04620321665017648
Neo1,Ntn4,Pathway 2,21174,28825,1366,0,0.939396628216504,1.0,0.9687514297479068,50,0.04645908919137055
Neo1,Ntn4,Pathway 2,21174,28825,1366,0,0.939396628216504,1.0,0.9687514297479068,75,0.04629779642736855
Neo1,Ntn4,Pathway 2,21174,28825,1366,0,0.939396628216504,1.0,0.9687514297479068,100,0.04537382608076856
Unc5a,Ntn1,Pathway 2,494,45270,5560,41,0.081598942847704,0.9233644859813084,0.149946881165579,25,0.12840853630706203
Unc5a,Ntn1,Pathway 2,535,45270,5560,0,0.08777686628383921,1.0,0.16138763197586728,50,0.13406950001563833
Unc5a,Ntn1,Pathway 2,535,45270,5560,0,0.08777686628383921,1.0,0.16138763197586728,75,0.1384721013216944
Unc5a,Ntn1,Pathway 2,535,45270,5560,0,0.08777686628383921,1.0,0.16138763197586728,100,0.13636999492696497
Unc5a,Ntn4,Pathway 2,528,48531,2299,7,0.1867704280155642,0.9869158878504672,0.314098750743605,25,0.07135555490810548
Unc5a,Ntn4,Pathway 2,535,48531,2299,0,0.18877911079745943,1.0,0.3176016622143069,50,0.07212778560827741
Unc5a,Ntn4,Pathway 2,535,48531,2299,0,0.18877911079745943,1.0,0.3176016622143069,75,0.07089038276939025
Unc5a,Ntn4,Pathway 2,535,48531,2299,0,0.18877911079745943,1.0,0.3176016622143069,100,0.06969619550281103
Unc5b,Ntn1,Pathway 2,4699,41472,5184,10,0.4754629161185875,0.9978764068804417,0.6440515350877194,25,0.09452045021091657
Unc5b,Ntn1,Pathway 2,4709,41472,5184,0,0.4759931264530476,1.0,0.6449801397068895,50,0.09456277195072602
Unc5b,Ntn1,Pathway 2,4709,41472,5184,0,0.4759931264530476,1.0,0.6449801397068895,75,0.09576672445396693
Unc5b,Ntn1,Pathway 2,4709,41472,5184,0,0.4759931264530476,1.0,0.6449801397068895,100,0.09454390782129994
Unc5b,Ntn4,Pathway 2,4709,44545,2111,0,0.6904692082111437,1.0,0.8168965218145545,25,0.04927035156220181
Unc5b,Ntn4,Pathway 2,4709,44545,2111,0,0.6904692082111437,1.0,0.8168965218145545,50,0.048678710737442406
Unc5b,Ntn4,Pathway 2,4709,44545,2111,0,0.6904692082111437,1.0,0.8168965218145545,75,0.048021265045796985
Unc5b,Ntn4,Pathway 2,4709,44545,2111,0,0.6904692082111437,1.0,0.8168965218145545,100,0.0472420158124931
Unc5c,Ntn1,Pathway 2,16366,30803,4196,0,0.7959342476412801,1.0,0.8863734835355286,25,0.0874175872927046
Unc5c,Ntn1,Pathway 2,16366,30803,4196,0,0.7959342476412801,1.0,0.8863734835355286,50,0.08778909021057991
Unc5c,Ntn1,Pathway 2,16366,30803,4196,0,0.7959342476412801,1.0,0.8863734835355286,75,0.08890603614165395
Unc5c,Ntn1,Pathway 2,16366,30803,4196,0,0.7959342476412801,1.0,0.8863734835355286,100,0.08907339464637978
Unc5c,Ntn4,Pathway 2,16366,33225,1774,0,0.9022050716648291,1.0,0.9485886512490581,25,0.034418034317799155
Unc5c,Ntn4,Pathway 2,16366,33225,1774,0,0.9022050716648291,1.0,0.9485886512490581,50,0.034323944292398524
Unc5c,Ntn4,Pathway 2,16366,33225,1774,0,0.9022050716648291,1.0,0.9485886512490581,75,0.033929029213797465
Unc5c,Ntn4,Pathway 2,16366,33225,1774,0,0.9022050716648291,1.0,0.9485886512490581,100,0.03332587454137788
Cxcr4,Cxcl12,Pathway 3,700,33782,16587,296,0.040492855903279924,0.7028112449799196,0.0765738664332987,25,0.26163078970450804
Cxcr4,Cxcl12,Pathway 3,666,33782,16587,330,0.038601982263954095,0.6686746987951807,0.0729903008384021,50,0.2614312359605092
Cxcr4,Cxcl12,Pathway 3,724,33782,16587,272,0.04182311824851251,0.7269076305220884,0.07909542797836894,75,0.25667425828496593
Cxcr4,Cxcl12,Pathway 3,770,33782,16587,226,0.04436250504119375,0.7730923694779116,0.08390998746798888,100,0.25331209364167884
Ackr3,Cxcl12,Pathway 3,3244,29098,13952,5071,0.1886485229123052,0.39013830426939267,0.2543216651640469,25,0.35050088548812053
Ackr3,Cxcl12,Pathway 3,1973,29098,13952,6342,0.12389324960753532,0.23728202044497895,0.16278877887788779,50,0.35524180387625265
Ackr3,Cxcl12,Pathway 3,1601,29098,13952,6714,0.10293833987012152,0.1925435959110042,0.1341545165074577,75,0.35547886136953305
Ackr3,Cxcl12,Pathway 3,1942,29098,13952,6373,0.12218447212784699,0.23355381840048106,0.16043620141269774,100,0.35193861206400867
